Replication,Phoenix_Avg,Denver_Avg,Chicago_Avg,Atlanta_Avg
344,13.0877,96.6667,167.1462,123.0994
345,11.4444,98.1170,167.8947,122.5439
346,11.7018,99.3275,165.8187,123.1520
347,13.1871,98.4678,164.6667,123.6784
348,12.1754,96.9064,165.6257,125.2924
349,11.5556,99.3743,165.0292,124.0409
350,12.1287,97.5439,166.8304,123.4971
351,12.0468,99.3333,164.7251,123.8947
352,12.5088,98.5731,164.8772,124.0409
353,13.6667,98.5146,162.5673,125.2515
354,12.6023,98.0702,164.4503,124.8772
355,12.0409,97.3567,167.5673,123.0351
356,13.5906,95.8304,164.6667,125.9123
357,13.2281,98.0936,165.0760,123.6023
358,12.7778,98.3041,165.1462,123.7719
359,12.8947,96.5789,166.1287,124.3977
360,12.2982,97.5205,166.3275,123.8538
361,13.2865,97.3860,166.3392,122.9883
362,12.0702,98.8947,164.9298,124.1053
363,12.9825,97.9415,165.1579,123.9181
364,13.8772,99.5263,163.0526,123.5439
365,13.0351,97.2865,162.7135,126.9649
366,11.9123,97.7602,166.6667,123.6608
367,12.6257,96.7368,166.3450,124.2924
368,12.5380,98.9883,165.0468,123.4269
369,12.1579,97.7836,164.4678,125.5906
370,12.0234,98.5789,164.6959,124.7018
371,12.7076,96.9006,164.6784,125.7135
372,11.9298,97.2632,164.7544,126.0526
373,12.7427,99.2398,164.0702,123.9474
374,11.5731,98.8129,165.5380,124.0760
375,11.8480,97.2105,166.3743,124.5673
376,11.4211,97.4152,167.7602,123.4035
377,12.0351,100.0292,163.9064,124.0292
378,13.2690,97.7661,165.5789,123.3860
379,12.1754,96.8830,165.5029,125.4386
380,12.7427,98.9766,164.3567,123.9240
381,13.1813,97.5322,165.8830,123.4035
382,12.0409,100.0175,164.7953,123.1462
383,11.5906,96.8830,165.4620,126.0643
384,12.5906,96.0468,166.9006,124.4620
385,12.5088,97.9006,166.6082,122.9825
386,12.7953,97.5380,163.4971,126.1696
387,11.3801,95.6608,166.5556,126.4035
388,13.0292,100.1287,162.2632,124.5789
389,12.7836,98.5731,165.4152,123.2281
390,13.3099,96.4561,164.7485,125.4854
391,11.8480,97.1871,167.5205,123.4444
392,14.6140,98.1871,163.4620,123.7368
393,11.3860,99.0936,166.1754,123.3450
394,11.9883,100.2105,164.4620,123.3392
395,12.0117,99.3684,165.4854,123.1345
396,12.1988,100.0585,164.7544,122.9883
