strategy,n_urgent,rule,rep,objective,el_app_wt,ur_scan_wt,el_scan_wt,ot
1,10,2,50,0.4609528515,14.93500115,3.348486316,0.2344474653,0.8893269502
1,10,2,51,0.4768626485,18.13010721,3.320508093,0.231706774,0.9660272917
1,10,2,52,0.4446236376,12.23132708,3.346363074,0.2235328576,0.935328526
1,10,2,53,0.4677942717,17.2311223,3.287052608,0.2354101667,0.9385805388
1,10,2,54,0.4738147787,18.96206226,3.248508245,0.2387120769,0.9371587978
1,10,2,55,0.4719742615,16.80621454,3.347435431,0.2408489229,0.9085474802
1,10,2,56,0.4745628563,16.79131185,3.371531144,0.2258007136,0.9468698018
1,10,2,57,0.4565616677,16.72848178,3.212886342,0.2306782052,0.8402962361
1,10,2,58,0.4597439941,15.1796694,3.324499372,0.2242426826,1.020481493
1,10,2,59,0.477379129,16.80887092,3.395936933,0.2299422276,0.9348304369
1,10,2,60,0.4517216882,15.18820545,3.25184133,0.2292537076,1.019676379
1,10,2,61,0.4514595196,14.6967228,3.27581124,0.2414315959,1.026906428
1,10,2,62,0.4766499895,15.08501094,3.481724319,0.2303963838,1.069588283
1,10,2,63,0.4841732831,15.57025179,3.523438916,0.2296756868,1.056378965
1,10,2,64,0.4485489386,13.13506245,3.333276388,0.2311992621,0.9521572664
1,10,2,65,0.4553886389,13.66618055,3.366380934,0.2289307037,0.9816418429
1,10,2,66,0.4722496876,16.39151909,3.372130094,0.231492952,1.023120845
1,10,2,67,0.4709790146,17.39509032,3.306931293,0.2388975581,0.9268403305
1,10,2,68,0.4660682644,14.97353992,3.392460456,0.2342352887,1.015375492
1,10,2,69,0.4719448467,17.43156799,3.313669621,0.2333068636,0.8892560515
